,PCTPOV017_2018,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,Heart disease_Lower 95% CI,diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI
721,-0.5926176064384494,-0.05691762336318983,-0.035859391377925036,-0.06349584032062139,-0.8074614862392632,-0.5233644271819221,-0.5080717929573226,-0.7812485678415118,-0.7676818894368042,-0.6638955829728073
722,0.5351943768740892,0.930752925207543,0.92309458063296,0.9071653448869496,1.1942341934577974,1.250483761294465,1.2085551162147068,1.0012186459803565,0.9604623061608535,0.9877887831039414
723,-0.6151738461047003,0.30366051341660194,0.294272303904511,0.3122439733081153,0.19338635360926706,-0.29199292433717544,-0.2219673080953174,0.10998503906942236,0.0003821974954885106,0.16194660006556705
724,-0.8858487220997097,-0.24504534690047147,-0.2873883020693049,-0.15743079372780586,0.19338635360926706,-0.40767867575954875,-0.2219673080953174,0.10998503906942236,0.0003821974954885106,0.16194660006556705
725,0.444969418209086,0.6328840296068451,0.6715656699415802,0.6253604846653962,0.5061513035619328,0.5178073356194356,0.493293904059695,0.28823176045160936,0.384414240961634,0.32711503667324204
726,2.0802967940122667,1.27565375169256,1.3318290605064522,1.2359376818120946,1.3818931634293972,2.9857700326300605,2.8536559041712355,2.6054391384200386,2.6886065017585095,2.4743047125730158
727,0.5690287363734654,0.3350151340061483,0.3257134177409339,0.3278997988759796,0.005727383637667712,0.6720550041825998,0.5648200252751959,0.28823176045160936,0.384414240961634,0.16194660006556705
728,-0.1189365734471833,-1.201361274881657,-1.104857261816288,-1.284650234614016,-1.1827794261824618,-0.060621421492429536,-0.2219673080953174,-0.6030018464593248,-0.575665867703731,-0.6638955829728073
729,-0.7843456436015811,-0.2136907263109251,-0.20878551747824875,-0.2513657471349892,-0.4321435462960645,-0.4848025100411305,-0.5080717929573226,-0.6030018464593248,-0.575665867703731,-0.49872714636513227
730,-0.7505112841022049,-0.448850380732528,-0.5074760989242618,-0.4079240028136296,-0.24448457632446458,-0.8318597643082497,-0.7226501566038261,-0.2465084036949516,-0.19163382423758465,-0.16839027314978222
731,2.294581070841649,2.012487335546916,2.054974678744169,1.9561056579338394,2.1325290433157944,2.0217221041102853,1.9595793889774702,2.6054391384200386,2.6886065017585095,2.4743047125730158
732,-1.021186160097214,0.037146238405451545,0.074184507049554,0.014783287518698809,-1.120226436191929,-0.7547359300266681,-0.7941762778193272,-1.1377420106058858,-1.1517139329029495,-1.3245693294035066
733,1.5502251618553735,1.3383629928716538,1.3318290605064522,1.329872635219278,1.1316812034672643,0.5949311699010174,0.7078722677061986,0.8229719245981695,0.7684462844277803,0.9877887831039414
734,1.6066157610210003,0.4290789957747897,0.38859564541377856,0.5157697056903485,0.5687042935524658,0.09362624707073464,0.24295247980544024,0.28823176045160936,0.19239821922856082,0.32711503667324204
735,-0.2204396519453116,-0.08827224395273622,-0.035859391377925036,-0.0948074914563488,-0.18193158633393164,0.4021215841970623,0.3144786010209419,0.10998503906942236,0.19239821922856082,-0.003221836542107218
736,-0.547505127105948,-0.37046382925866034,-0.3345499728239381,-0.4079240028136296,-0.4321435462960645,-0.4462405929003396,-0.5438348535650731,-0.7812485678415118,-0.7676818894368042,-0.8290640195804815
737,-0.8294581229340827,-0.35478651896388663,-0.31882941590572667,-0.39226817724576646,-0.24448457632446458,-0.3691167586187579,-0.5080717929573226,-0.4247551250771378,-0.3836498459706578,-0.3335587097574572
