PCTPOV017_2018,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,Heart disease_Lower 95% CI,diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,diabetes_prevalence
44.5,57.6,55.7,59.4,9.3,15.4,17.4,4.1,3.8,4.4,16.4
15.2,48.3,46.5,50.1,6.6,11.5,13.0,3.1,2.9,3.3,12.3
22.2,40.4,38.8,42.0,7.1,10.0,11.5,3.4,3.2,3.6,10.8
22.1,47.4,45.6,49.2,7.3,13.7,15.5,3.5,3.3,3.7,14.6
31.7,56.5,54.7,58.3,9.0,17.3,19.4,4.5,4.2,4.7,18.4
20.1,43.5,41.9,45.2,5.4,9.8,10.8,2.6,2.5,2.8,10.3
15.7,45.1,42.9,47.1,7.4,11.0,13.0,3.2,2.9,3.5,12.0
26.9,46.1,44.8,47.3,7.3,13.0,14.3,3.7,3.5,3.9,13.7
43.7,59.8,57.5,62.1,11.7,17.0,20.0,4.3,4.0,4.7,18.5
18.6,50.2,47.3,53.1,10.2,12.7,15.8,4.1,3.7,4.4,14.2
23.4,49.5,47.7,51.3,7.7,14.8,16.6,3.6,3.4,3.9,15.6
14.1,48.2,45.9,50.5,7.6,12.1,14.3,3.3,3.0,3.6,13.2
7.1,28.2,26.8,29.5,4.1,8.8,10.1,2.4,2.2,2.5,9.5
26.1,54.9,52.1,57.3,10.9,15.5,18.2,4.0,3.7,4.3,16.9
24.0,50.0,47.9,52.0,9.1,13.4,15.5,3.6,3.3,3.9,14.5
16.6,44.2,41.6,46.8,8.5,10.8,13.0,3.6,3.3,3.9,11.9
11.5,41.9,39.7,43.9,6.7,9.4,11.1,3.0,2.8,3.2,10.3
18.0,49.4,47.7,51.1,8.2,11.5,13.3,3.5,3.3,3.8,12.4
9.2,32.7,30.6,34.7,4.3,6.2,7.3,2.2,2.0,2.3,6.7
11.5,43.3,41.0,45.5,6.9,9.2,11.1,3.0,2.8,3.3,10.2
31.5,53.3,51.4,55.1,9.6,15.4,17.3,4.1,3.9,4.4,16.4
13.6,48.8,46.4,51.0,7.7,12.6,14.8,3.2,3.0,3.5,13.7
35.3,53.0,50.7,55.2,9.4,14.1,16.5,3.8,3.5,4.1,15.3
11.4,45.6,43.1,47.9,7.2,10.1,12.1,3.2,2.9,3.4,11.1
50.8,62.7,60.5,64.7,10.6,19.5,21.7,4.9,4.6,5.2,20.6
21.6,54.5,52.5,56.6,8.9,14.4,16.5,3.5,3.2,3.7,15.4
15.2,39.8,37.7,42.0,6.9,10.4,12.6,3.1,2.9,3.4,11.5
30.9,50.9,49.0,52.8,8.7,14.6,16.5,3.9,3.7,4.2,15.6
20.9,50.7,48.5,52.7,7.8,12.2,14.2,3.2,3.0,3.5,13.2
18.4,47.4,45.0,49.6,7.9,11.9,14.2,3.5,3.2,3.8,13.0
12.2,43.3,41.3,45.4,6.7,10.0,11.7,3.0,2.8,3.2,10.8
12.5,34.0,31.7,36.0,6.0,8.7,10.6,2.8,2.6,3.1,9.7
15.9,38.4,36.3,40.7,7.1,9.6,11.5,3.2,2.9,3.4,10.6
16.0,49.0,46.8,51.1,7.3,10.8,12.9,3.2,2.9,3.5,11.9
28.4,47.7,45.6,49.5,9.3,12.9,14.7,4.0,3.7,4.2,13.8
16.0,45.3,43.2,47.1,6.5,9.7,11.4,3.0,2.8,3.3,10.6
13.7,36.4,34.1,38.7,7.1,9.6,11.7,3.5,3.2,3.7,10.6
31.7,57.4,55.7,58.9,9.9,18.1,20.1,4.3,4.1,4.6,19.1
25.3,61.5,59.2,63.6,10.8,15.2,17.9,3.9,3.5,4.2,16.5
14.1,42.3,40.2,44.1,5.8,11.0,12.8,2.8,2.7,3.0,11.9
24.2,55.3,52.9,57.5,9.2,14.0,16.4,3.6,3.3,3.9,15.2
22.2,58.4,56.1,60.6,9.5,13.9,16.1,3.6,3.3,3.9,15.1
36.0,64.2,62.1,66.2,11.7,17.2,20.1,4.3,3.9,4.7,18.7
18.3,44.6,42.0,47.0,8.3,11.4,13.7,3.5,3.2,3.8,12.6
17.3,46.3,44.1,48.5,7.9,12.4,14.6,3.3,3.1,3.6,13.5
19.5,46.1,43.6,48.5,9.0,11.6,13.9,3.9,3.6,4.2,12.8
20.3,47.9,45.6,50.2,8.7,13.0,15.3,3.8,3.5,4.2,14.1
18.4,46.9,44.5,49.1,8.5,11.2,13.4,3.7,3.4,4.0,12.3
23.6,52.1,49.7,54.4,8.5,13.2,15.3,3.2,3.0,3.5,14.3
28.2,57.0,55.3,58.8,9.4,17.3,19.4,4.3,4.1,4.6,18.4
15.5,43.5,41.1,45.9,7.8,11.1,13.4,3.4,3.2,3.7,12.2
40.1,53.4,51.6,55.3,9.4,16.1,18.1,4.3,4.0,4.6,17.1
14.3,45.5,43.2,47.6,7.1,10.3,12.1,3.2,2.9,3.4,11.2
14.8,46.9,44.6,49.1,5.9,9.2,10.7,2.7,2.5,2.9,9.9
19.2,49.7,47.6,51.7,7.7,14.1,16.1,3.6,3.4,3.8,15.1
46.6,53.7,52.1,55.2,9.2,16.3,18.0,4.2,3.9,4.4,17.2
28.9,48.8,46.4,51.2,7.2,14.7,17.1,3.8,3.5,4.1,15.8
18.0,44.4,42.4,46.3,7.6,11.7,13.8,3.3,3.0,3.6,12.7
16.3,46.4,44.2,48.5,6.4,12.2,13.9,3.1,2.9,3.3,13.1
36.7,55.9,54.3,57.4,9.5,17.5,19.3,4.3,4.0,4.6,18.4
34.5,40.4,38.7,42.2,5.9,11.3,12.9,3.2,3.0,3.4,12.1
16.7,49.8,47.4,52.2,8.2,12.1,14.2,3.5,3.3,3.8,13.1
21.7,39.8,37.7,41.8,9.6,13.0,15.4,4.1,3.8,4.4,14.2
20.9,46.5,44.4,48.6,8.5,11.7,13.6,3.7,3.5,4.0,12.6
12.2,44.0,41.6,46.3,6.9,10.7,12.6,3.1,2.9,3.3,11.6
5.9,32.9,31.0,34.8,4.9,7.5,8.9,2.5,2.3,2.7,8.2
19.0,49.7,47.4,51.9,8.8,12.5,14.7,3.6,3.4,4.0,13.6
28.7,52.2,49.7,54.5,10.2,14.0,16.6,4.2,3.8,4.6,15.3
36.4,57.5,55.3,59.7,12.3,16.5,19.1,4.9,4.5,5.2,17.8
21.9,53.0,50.8,55.1,8.7,12.9,15.1,3.5,3.2,3.8,14.0
26.5,50.0,48.0,52.1,9.1,13.4,15.3,3.7,3.4,3.9,14.3
10.6,38.1,36.2,39.8,5.5,8.8,10.4,2.7,2.5,2.9,9.6
14.9,34.1,32.6,35.5,4.9,9.0,10.2,2.7,2.6,2.9,9.6
21.7,55.9,53.7,57.8,9.2,14.1,16.6,3.6,3.3,3.9,15.4
25.9,51.9,50.1,53.6,10.2,15.1,17.5,4.2,3.9,4.5,16.3
18.2,46.9,44.6,49.1,7.6,10.6,12.4,3.5,3.2,3.7,11.5
20.1,49.0,47.1,50.8,7.1,13.3,15.0,3.4,3.2,3.6,14.1
32.6,53.5,51.7,55.3,8.5,15.3,17.1,3.9,3.6,4.1,16.1
16.6,51.0,48.5,53.4,7.5,11.2,13.2,3.1,2.9,3.4,12.2
20.7,50.5,48.5,52.5,9.1,13.2,15.1,3.6,3.4,3.9,14.2
16.5,39.8,37.2,42.2,8.1,10.5,12.6,3.7,3.5,4.0,11.5
6.5,38.0,36.3,39.6,4.6,8.4,9.6,2.3,2.2,2.5,9.0
38.8,60.0,58.3,61.6,11.9,17.2,19.1,5.1,4.8,5.4,18.2
20.1,47.2,44.9,49.3,7.4,11.5,13.5,3.3,3.1,3.6,12.6
11.7,43.5,41.3,45.7,6.7,10.6,12.5,2.9,2.7,3.1,11.5
41.2,56.8,55.0,58.7,8.4,15.8,17.6,4.0,3.7,4.2,16.7
16.9,44.8,42.6,46.7,6.7,10.0,11.8,3.0,2.8,3.2,10.9
9.9,38.8,36.9,40.5,5.7,9.0,10.6,2.8,2.6,3.0,9.8
37.1,53.1,51.2,54.8,9.5,16.4,18.4,4.3,4.0,4.6,17.4
12.0,38.0,35.9,40.0,5.8,8.4,10.0,2.8,2.6,3.0,9.2
19.6,46.6,44.0,49.4,8.9,12.1,14.5,3.9,3.6,4.2,13.3
6.8,38.6,36.4,40.8,5.7,9.1,10.8,2.7,2.6,2.9,9.9
35.7,56.1,53.9,58.4,10.6,15.8,18.3,4.1,3.8,4.5,17.0
